Name,Date_of_birth,PAN,SalaryEarned,Allowances,Self_or_Family_pension,Bank_Name,Bank_Acc_No,Public_Private_Bank,aadhaar
"Hussein Brandt",1948-10-10,852405,8448,412,Self,HUH,55501252,Private,7911
"Rhys Pruitt",1958-06-06,844838,44974,435,Family,IUR,94433825,Public,9641
"Ashley Durham",1957-07-04,612510,8448,595,Family,BOI,96564212,Public,1639
"Albert Charles",1958-04-14,546227,95805,162,Family,IOC,14248667,Public,2106
"Kirsten Downs",1971-03-09,526627,8071,632,Self,IUR,92810447,Private,2298
"Peggy Garza",1968-03-05,798610,5582,750,Family,TSB,20788054,Public,2721
"Alex Callaghan",1999-12-31,845980,34233,285,Self,AIB,76367177,Private,3208
"Annabella Wolf",1997-09-04,597324,98447,99,Self,AIB,31218303,Private,3462
"Jake Nolan",1948-11-11,542551,35578,168,Family,IUR,87207117,Public,3698
"Callum Duffy",2000-08-13,333305,34881,657,Family,BOI,77771708,Public,4091
"Qasim Beard",1997-11-18,549526,25184,172,Family,BOP,30519444,Public,4474
"Jack O'Connor",1974-08-17,489961,19994,824,Self,AIB,98193774,Private,5657
"John Graham",1996-04-21,903693,91846,399,Self,TSB,69756830,Private,5751
"Mitchell Sparks",1994-09-10,123671,74158,260,Self,AIB,29414352,Private,6350
"Neve Fields",1968-09-02,38588,40377,385,Self,AIB,13279138,Private,6391
"Sam McMahon",1985-05-13,541381,66433,386,Family,AIB,53513700,Public,7044
"Eoin Carroll",1972-06-11,979270,37256,297,Self,BOI,38331253,Private,8411
"Mya Todd",1929-01-20,349472,49316,606,Self,IOC,66971399,Private,8709
"Demi-Leigh Cotton",1948-11-10,675304,65834,756,Family,BOI,96630527,Public,9138
"Rose Flores",1967-04-12,228360,92202,27,Family,TSB,14260346,Public,9692
